lat.name,ccg.name
"Cheshire, Warrington and Wirral",Eastern Cheshire 
"Cheshire, Warrington and Wirral",South Cheshire 
"Cheshire, Warrington and Wirral",Vale Royal 
"Cheshire, Warrington and Wirral",Warrington 
"Cheshire, Warrington and Wirral",West Cheshire 
"Cheshire, Warrington and Wirral",Wirral 
,
"Durham, Darlington and Tees",Darlington 
"Durham, Darlington and Tees","Durham Dales, Easington and Sedgefield "
"Durham, Darlington and Tees",Hartlepool and Stockton-on-Tees 
"Durham, Darlington and Tees",North Durham 
"Durham, Darlington and Tees",South Tees 
,
Greater Manchester,Bolton 
Greater Manchester,Bury 
Greater Manchester,Central Manchester 
Greater Manchester,"Heywood, Middleton & Rochdale "
Greater Manchester,North Manchester 
Greater Manchester,Oldham 
Greater Manchester,Salford 
Greater Manchester,South Manchester 
Greater Manchester,Stockport 
Greater Manchester,Tameside and Glossop 
Greater Manchester,Trafford 
Greater Manchester,Wigan Borough 
,
Lancashire,Blackburn with Darwen 
Lancashire,Blackpool 
Lancashire,Chorley and South Ribble 
Lancashire,East Lancashire 
Lancashire,Fylde & Wyre 
Lancashire,Greater Preston 
Lancashire,Lancashire North 
Lancashire,West Lancashire 
,
Merseyside,Halton 
Merseyside,Knowsley 
Merseyside,Liverpool 
Merseyside,South Sefton 
Merseyside,Southport and Formby 
Merseyside,St Helens 
,
"Cumbria, Northumberland, Tyne and Wear",Cumbria 
"Cumbria, Northumberland, Tyne and Wear",Newcastle
"Cumbria, Northumberland, Tyne and Wear",Gateshead
"Cumbria, Northumberland, Tyne and Wear",North Tyneside 
"Cumbria, Northumberland, Tyne and Wear",Northumberland 
"Cumbria, Northumberland, Tyne and Wear",South Tyneside 
"Cumbria, Northumberland, Tyne and Wear",Sunderland 
,
North Yorkshire and Humber,East Riding of Yorkshire 
North Yorkshire and Humber,"Hambleton, Richmondshire and Whitby "
North Yorkshire and Humber,Harrogate and Rural District 
North Yorkshire and Humber,Hull 
North Yorkshire and Humber,North East Lincolnshire 
North Yorkshire and Humber,North Lincolnshire 
North Yorkshire and Humber,Scarborough and Ryedale 
North Yorkshire and Humber,Vale of York 
,
South Yorkshire and Bassetlaw,Barnsley 
South Yorkshire and Bassetlaw,Bassetlaw 
South Yorkshire and Bassetlaw,Doncaster 
South Yorkshire and Bassetlaw,Rotherham 
South Yorkshire and Bassetlaw,Sheffield 
,
West Yorkshire,"Airedale, Wharfedale and Craven "
West Yorkshire,Bradford City 
West Yorkshire,Bradford Districts 
West Yorkshire,Calderdale 
West Yorkshire,Greater Huddersfield 
West Yorkshire,Leeds North 
West Yorkshire,Leeds South and East 
West Yorkshire,Leeds West 
West Yorkshire,North Kirklees 
West Yorkshire,Wakefield 
,
"Arden, Herefordshire and Worcestershire",Coventry and Rugby 
"Arden, Herefordshire and Worcestershire",Herefordshire 
"Arden, Herefordshire and Worcestershire",Redditch and Bromsgrove 
"Arden, Herefordshire and Worcestershire",South Warwickshire 
"Arden, Herefordshire and Worcestershire",South Worcestershire 
"Arden, Herefordshire and Worcestershire",Warwickshire North 
"Arden, Herefordshire and Worcestershire",Wyre Forest 
,
Birmingham and the Black Country,Birmingham CrossCity 
Birmingham and the Black Country,Birmingham South and Central 
Birmingham and the Black Country,Dudley 
Birmingham and the Black Country,Sandwell and West Birmingham 
Birmingham and the Black Country,Solihull 
Birmingham and the Black Country,Walsall 
Birmingham and the Black Country,Wolverhampton 
,
Derbyshire and Nottinghamshire,Erewash 
Derbyshire and Nottinghamshire,Hardwick 
Derbyshire and Nottinghamshire,Mansfield & Ashfield
Derbyshire and Nottinghamshire,Newark & Sherwood 
Derbyshire and Nottinghamshire,North Derbyshire 
Derbyshire and Nottinghamshire,Nottingham City 
Derbyshire and Nottinghamshire,Nottingham North & East 
Derbyshire and Nottinghamshire,Nottingham West 
Derbyshire and Nottinghamshire,Rushcliffe 
Derbyshire and Nottinghamshire,Southern Derbyshire 
,
East Anglia,Cambridgeshire and Peterborough 
East Anglia,Great Yarmouth and Waveney 
East Anglia,Ipswich and East Suffolk 
East Anglia,North Norfolk 
East Anglia,Norwich 
East Anglia,South Norfolk 
East Anglia,West Norfolk 
East Anglia,West Suffolk 
,
Essex,Basildon and Brentwood 
Essex,Castle Point and Rochford 
Essex,Mid Essex 
Essex,North East Essex 
Essex,Southend 
