lsoa.code,lsoa.popn
E06000047,512994
E01020634,1568
E01020635,1377
E01020636,1694
E01020654,1744
E01020676,1517
E01020613,1393
E01020614,1425
E01020622,1663
E01020623,1509
E01020627,1541
E01020628,1649
E01020629,1505
E01020655,2011
E01020656,1454
E01020657,1546
E01020661,1869
E01020662,1789
E01020663,1848
E01020674,1586
E01020678,1363
E01020606,1505
E01020615,1778
E01020616,1698
E01020617,1807
E01020626,1540
E01020638,1565
E01020639,1500
E01020653,1547
E01020677,1536
E01020596,1676
E01020597,1493
E01020598,1770
E01020611,1348
E01020612,1618
E01020647,2156
E01020648,1883
E01020649,1546
E01020673,1619
E01020675,1696
E01020624,1559
E01020625,1609
E01020670,1567
E01020671,1346
E01020672,1675
E01020632,1813
E01020640,2362
E01020641,2185
E01020642,1395
E01020643,2166
E01020667,1530
E01020592,1520
E01020593,1229
E01020599,1698
E01020601,1551
E01020602,1820
E01020618,1556
E01020650,2192
E01020651,1729
E01020652,1997
E01020668,1495
E01020669,1464
E01020594,1643
E01020595,1721
E01020600,1516
E01020603,1849
E01020605,1757
E01020630,1388
E01020631,1651
E01020637,1653
E01020644,2462
E01020645,1486
E01020590,1365
E01020591,1483
E01020608,1787
E01020609,1401
E01020610,1496
E01020750,1249
E01020781,1124
E01020786,1603
E01020787,1837
E01033163,1988
E01033202,1163
E01020740,1416
E01020741,1248
E01020742,1683
E01020782,1184
E01020783,1341
E01020784,1460
E01020743,1425
E01020747,1294
E01020748,1289
E01020749,1384
E01020773,1393
E01020775,1706
E01020604,1420
E01020607,1613
E01020619,1542
E01020620,1605
E01020621,1861
E01020633,1556
E01020664,1409
E01020665,1351
E01020666,1461
E01020776,1848
E01033161,1543
E01033198,1470
E01033205,1498
E01033206,1528
E01020709,2475
E01020717,1609
E01020718,1324
E01020719,1239
E01020721,1181
E01020708,1153
E01020710,1581
E01020711,1743
E01020720,1409
E01020646,1582
E01020658,1809
E01020659,1582
E01020660,1597
E01020751,1868
E01020752,1202
E01020754,1319
E01020756,1349
E01020679,1595
E01020680,1637
E01020681,1469
E01020714,1553
E01020716,1710
E01020725,1535
E01020726,1225
E01020727,1088
E01020729,2123
E01020730,1684
E01020731,1456
E01020682,1880
E01020683,1649
E01020690,1288
E01020691,1333
E01020692,1391
E01020693,1325
E01020722,1998
E01020723,1726
E01020724,1612
E01020703,2058
E01033164,2274
E01033195,1387
E01033197,1999
E01033221,4470
E01020705,1447
E01020706,1842
E01020715,2394
E01020745,1344
E01020753,1959
E01020757,1149
E01020758,1448
E01020759,1119
