ccg.name,pca.1314,pca.1415
"Airedale, Wharfedale and Craven ",94756121.68,96272263.7
Ashford ,25179038.17,25788192.77
Aylesbury Vale ,32467291.02,33336167.45
Barking and Dagenham ,8790732.375,9003405.91
Barnet ,14107587.8,14448891.63
Barnsley ,60509145.57,61973038.83
Basildon and Brentwood ,40083648.47,40725047.91
Bassetlaw ,28839148.88,29536852.26
Bath and North East Somerset ,38101819.99,38855750
Bedfordshire ,92216842.29,94622421.89
Bexley ,8373525.79,8576105.878
Birmingham CrossCity ,141941682.7,146217069.7
Birmingham South and Central ,63304143.08,65210910.03
Blackburn with Darwen ,41619855.88,42626761.96
Blackpool ,44627113.74,45706774.19
Bolton ,61591012.28,63027213.84
Bracknell and Ascot ,19738533.86,20266768.47
Bradford City ,101873393.6,103503415.3
Bradford Districts ,286035781.2,290612486.8
Brent ,12959953.63,13273492.82
Brighton & Hove ,66743102.86,68214209.86
Bristol ,95634984.49,97349076.43
Bromley ,11801573.23,12087087.81
Bury ,39842262,40771318.31
Calderdale ,159495922.5,162047931.4
Cambridgeshire and Peterborough ,100601022,102210791.7
Camden ,10955149.56,11220186.68
Cannock Chase ,29030145.25,29732469.4
Canterbury and Coastal ,40856582.98,41845023.26
Castle Point and Rochford ,28307120.92,28760077.98
Central London (Westminster) ,8431997.925,8635992.625
Central Manchester ,42854075.11,43853361.97
Chiltern ,49248940.56,50566920.67
Chorley and South Ribble ,36127858.16,37001896.74
City and Hackney ,12680551.64,12987331.29
Coastal West Sussex ,100038151.4,102243125.6
Corby ,13690864.51,14048006.05
Coventry and Rugby ,92503431.7,94308832.92
Crawley ,24414198.61,24952320.11
Croydon ,14484654.06,14835080.22
Cumbria ,86337842.59,87985636.14
Darlington ,23982446.63,24366202.31
"Dartford, Gravesham and Swanley ",49093471.67,50281186.39
Doncaster ,73040582.55,74807647.94
Dorset ,551368930.5,560191089.8
Dudley ,63645329.05,65562372.76
"Durham Dales, Easington and Sedgefield ",74144878.39,75331309.4
Ealing ,14278895.35,14624343.61
East and North Hertfordshire ,105264329.5,108010267.5
East Lancashire ,87121538.75,89229263.67
East Leicestershire and Rutland ,60740318.58,62209804.59
East Riding of Yorkshire ,55833785.98,57184568.61
East Staffordshire ,29279412.2,29987766.85
East Surrey ,32101928.46,32809497.78
"Eastbourne, Hailsham and Seaford ",39298086.34,40164268.57
Eastern Cheshire ,43542078.61,44373097.25
Enfield ,11699484.04,11982528.79
Erewash ,9885894.379,10074570.78
Fareham and Gosport ,129985323.5,132065149.2
Fylde & Wyre ,43552431.32,44606092.06
Gateshead ,25026886.8,25504535.32
Gloucestershire ,119207847.6,121566642.4
Great Yarmouth and Waveney ,26466641.4,26890147.98
Greater Huddersfield ,181948654.2,184859917.3
Greater Preston ,44339914.13,45412626.38
Greenwich ,10774360.04,11035023.34
Guildford and Waverley ,39817329.58,40694956.63
Halton ,35632222.46,36494270.17
