ltla.name,ltla.ph.alloc.1314,ltla.ph.alloc.1415
Barking and Dagenham,12921124.82,14213237.3
Barnet,13798950.89,14334818.52
Barnsley,13570861.94,14242618.97
Bath and North East Somerset,7183475.122,7384124
Bedford,6675748.898,7343323.788
Bexley,6885571.632,7574128.795
Birmingham,78636075.17,80837885.27
Blackburn with Darwen,12775814.29,13133537.09
Blackpool,17456911.7,17945705.23
Bolton,18115047.2,18905952.62
Bournemouth,7542023.105,8296225.415
Bracknell Forest,2771597.073,3048756.781
Bradford,31544618.52,34699080.38
Brent,18334830.88,18848206.15
Brighton and Hove,18185375.59,18694566.1
"Bristol, City of",27312500.61,29122290.18
Bromley,12600784.79,12953606.77
Bury,9146580.506,9619149.454
Calderdale,9828944.926,10678751.45
Camden,25649378.88,26367561.49
Central Bedfordshire,9873036.316,10149481.33
Cheshire East,13761752.76,14274388.31
Cheshire West and Chester,13370983.64,13889354
City of London,1651401.11,1697640.342
Cornwall,17839107.92,18338602.94
County Durham,44533137.82,45780065.68
Coventry,17831662.81,19614829.1
Croydon,18311892.78,18824625.77
Darlington,6988696.02,7184379.509
Derby,13167340.73,14484074.8
Doncaster,19648074.03,20198220.1
Dorset,12538150.6,12889218.82
Dudley,18456817.36,18973608.25
Ealing,21375686.41,21974205.63
East Riding of Yorkshire,8341063.746,9175170.121
Enfield,12961259.59,14257385.55
Gateshead,15400512.39,15831726.73
Greenwich,18277253.3,19061079.91
Hackney,29005351.73,29817501.57
Halton,8510488.148,8748781.816
Hammersmith and Fulham,20287066.47,20855104.33
Haringey,17586690.56,18189355.37
Harrow,8874299.211,9145841.391
Hartlepool,8254786.939,8485920.973
Havering,8833400.586,9716740.644
"Herefordshire, County of",7752681.056,7969756.125
Hillingdon,15281224.88,15709099.18
Hounslow,12803933.27,14084326.6
Isle of Wight,5921876.38,6087688.919
Isles of Scilly,70947.42998,72933.95802
Islington,24736574.42,25429198.51
Kensington and Chelsea,20635923.23,21213729.08
"Kingston upon Hull, City of",21944978.66,22559438.06
Kingston upon Thames,9048892.516,9302261.506
Kirklees,22602530.74,23526633.65
Knowsley,15928560.58,16374560.28
Lambeth,25438205.45,26437378.51
Leeds,36854923.29,40540415.62
Leicester,19995111.85,21994623.04
Lewisham,19540968.84,20088115.96
Liverpool,40307876.44,41436496.98
Luton,11876901.78,13064591.95
Manchester,40105173.21,44115690.53
Medway,13170187.05,14280296.28
Merton,8984638.818,9236208.705
Middlesbrough,15931951.2,16378045.84
Milton Keynes,7989026.685,8787929.354
Newcastle upon Tyne,20721290.83,21301486.98
Newham,23738097.85,26111907.64
North East Lincolnshire,9699659.623,9971250.092
North Lincolnshire,8070795.079,8463881.871
North Somerset,7380503.489,7593000.667
North Tyneside,10417373.08,10807248.04
Northumberland,13042750.06,13407947.06
Nottingham,27080897.36,27839162.49
Oldham,13559044.29,14914948.71
Peterborough,8446122.935,9290735.229
Plymouth,11159745.68,12275720.25
Poole,5891715.008,6056683.028
Portsmouth,15737442.73,16178091.13
Reading,7465531.365,8212084.502
Redbridge,10373906.51,11411297.16
Redcar and Cleveland,10619700.68,10917052.3
Richmond upon Thames,7675988.028,7890915.692
Rochdale,14255613.72,14777309.01
Rotherham,13790313.71,14176442.49
Rutland,1043562.645,1072782.399
Salford,17074928.6,18776638.68
Sandwell,20816196.81,21804621.09
Sefton,19408398.26,19951833.41
Sheffield,29665308.54,30747852.34
Shropshire,8948207.909,9843028.7
Slough,4987731.113,5486504.224
Solihull,9635458.284,9905251.116
South Gloucestershire,6677357.085,7345092.794
South Tyneside,12565481.84,12917315.34
Southampton,14312570.4,15050163.81
Southend-on-Sea,7327036.576,8059740.234
Southwark,21808823.53,22945551.42
St. Helens,12680311.71,13035360.44
Stockport,12359600.81,12834341.07
Stockton-on-Tees,12710935.47,13066841.66
Stoke-on-Trent,19690490.17,20241823.89
Sunderland,20655584.35,21233940.71
Sutton,8384397.539,8619160.671
Swindon,7891194.129,8680313.541
Tameside,11454487.04,12599935.74
Telford and Wrekin,10615678.28,10912917.27
Thurrock,7416756.601,7624425.785
Torbay,7150403.499,7350614.797
Tower Hamlets,31382303.82,32261008.33
Trafford,10171014.66,10455803.07
Wakefield,20230298.21,20796746.56
Walsall,14983698.31,15827335.67
Waltham Forest,11160514.48,12276565.93
Wandsworth,24738191.18,25430860.54
Warrington,10051599.12,10439494.75
West Berkshire,4381012.339,4819113.573
Westminster,30384168.63,31234925.35
Wigan,23020453.2,23665025.88
Wiltshire,13260506.26,14586556.89
Windsor and Maidenhead,3191559.739,3510715.713
Wirral,25719947.22,26440105.74
Wokingham,3838905.493,4222796.043
Wolverhampton,18770424.82,19295996.71
York,6640684.037,7304752.441
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
