pct.name,alloc.0708,alloc.0809,alloc.0910,alloc.1011,alloc.1112,alloc.1213
"Ashton, Leigh and Wigan",449115062.6,473645727.3,511831000,539982000,573073000,589137000
Barking and Dagenham,267022610.8,281607385.8,301080000,316599000,334350000,343712000
Barnet,460639927.5,485800080.4,528745000,555931000,582442000,598836000
Barnsley,353530693.1,372840539.5,409151000,437291000,463325000,476380000
Bassetlaw,144874144.4,152787170.2,167978000,182407000,193806000,199269000
Bath and North East Somerset,224569168,236835135.9,255385000,268516000,284515000,292402000
Bedfordshire,483954641.1,510388243.6,551987000,585386000,609486000,626660000
Berkshire East,467641168.6,493183729.2,532623000,560009000,584685000,601190000
Berkshire West,521309876.5,549783821.9,597061000,627760000,659139000,677654000
Bexley,281903760.4,297301343.8,321350000,337896000,355831000,365868000
Birmingham East and North,606915734.3,640065471.7,674108000,711184000,747286000,768233000
Blackburn with Darwen Teaching,227151592.2,239558612.2,258536000,272755000,290109000,298192000
Blackpool,232537420.2,245238614.1,263731000,278236000,293588000,301794000
Bolton Teaching,388481057.3,409699892.7,439803000,463992000,488691000,502437000
Bournemouth and Poole Teaching,455409868.4,480284355.4,509384000,535575000,573647000,589741000
Bradford and Airedale Teaching,713985626.3,752983521.3,810920000,856745000,906446000,931917000
Brent Teaching,440836457.3,464914944.6,501538000,527325000,554228000,569828000
Brighton and Hove City,381965341.1,402828288,438902000,461469000,481688000,495221000
Bristol,571180921.1,602378823,660306000,695459000,728907000,748351000
Bromley,403631806.3,425678175.6,466265000,490239000,511494000,525982000
Buckinghamshire,573490005.8,604814030,652120000,685650000,718195000,738415000
Bury,247864245,261402590,282130000,297647000,316152000,324995000
Calderdale,275395936.7,290438062.8,308563000,325895000,347473000,357277000
Cambridgeshire,685882773.1,723345690.2,777313000,827498000,876576000,901315000
Camden,398847843.9,420632913.1,453989000,477331000,500788000,515045000
Central and Eastern Cheshire,571131535.2,602326739.6,645100000,679543000,725624000,745929000
Central Lancashire,607500498.2,640682175.4,688006000,725915000,769677000,791192000
City and Hackney Teaching,416670847.4,439429409.1,472222000,496502000,524447000,540065000
Cornwall and Isles of Scilly,710826504.3,749651848,808369000,856214000,916136000,941848000
County Durham,784201265,827034338.1,886825000,935601000,990842000,1018768000
Coventry Teaching,469450721.5,495092120,529616000,558745000,595086000,611802000
Croydon,458632931.5,483683462.3,526752000,553836000,577326000,593409000
Cumbria Teaching,689159510.8,726801403.2,783807000,826917000,868674000,893078000
Darlington,147509380.6,155566343,166081000,174705000,184181000,189309000
Derby City,361114632.3,380838713.5,405847000,428169000,457183000,470074000
Derbyshire County,922913006.1,973322514.5,1048875000,1107225000,1173296000,1206234000
Devon,956902511.9,1009168527,1088020000,1152427000,1226933000,1261319000
Doncaster,439103022.5,463086829.6,502312000,529939000,561196000,576843000
Dorset,512900262.4,540914874.7,580964000,613261000,653253000,671650000
Dudley,407037455.6,429269841.4,461918000,487324000,513165000,527529000
Ealing,481157082.2,507437882,545775000,573837000,606583000,623631000
East Lancashire Teaching,553337557.1,583560854.5,629300000,663912000,698066000,717666000
East Riding of Yorkshire,380204012.8,400970756,432198000,458519000,489437000,503162000
East Sussex Downs and Weald,458442595.6,483482730.2,513310000,539702000,567802000,583774000
Eastern and Coastal Kent,1013330698,1068678820,1151643000,1216563000,1277363000,1313543000
Enfield,384190182.8,405174650.6,436718000,459173000,487286000,500952000
Gateshead,313317169.5,330430553.3,357224000,376601000,393002000,404046000
Gloucestershire,731207661.8,771146224.3,825908000,868490000,917905000,943727000
Great Yarmouth and Waveney,319752257.4,337217125.8,361014000,381535000,401839000,413118000
Greenwich Teaching,372379445.2,392718810.5,424160000,445968000,470162000,483383000
Halton and St Helens,474176061.3,500075557.8,537116000,566657000,598676000,615521000
Hammersmith and Fulham,286377346.7,302019277.4,326448000,343232000,361516000,371698000
Hampshire,1531883801,1615555295,1709698000,1799471000,1881544000,1934585000
Haringey Teaching,375204532.3,395698203.9,424321000,446139000,474901000,488200000
Harrow,276175886.6,291260613.6,313370000,329483000,348737000,358496000
Hartlepool,144243180.3,152121742.8,163405000,172392000,183126000,188258000
Hastings and Rother,270154429.9,284910264.8,303746000,319363000,333765000,343195000
Havering,331028192.6,349108952.5,376447000,396316000,416819000,428543000
Heart of Birmingham Teaching,454254563.7,479065948,523451000,550366000,578399000,594529000
Herefordshire,226439143.3,238807249.3,256778000,272050000,289677000,297754000
Hertfordshire,1347383003,1420977063,1532915000,1616718000,1699918000,1747559000
"Heywood, Middleton and Rochdale",316327354.3,333605154.4,358484000,378201000,396763000,407377000
Hillingdon,333169368.5,351367079.4,379496000,399009000,418501000,430321000
Hounslow,322634216.4,340256497.3,362964000,381627000,404857000,416174000
Hull Teaching,401456733.7,423384300.5,455982000,481061000,510332000,524608000
Isle of Wight National Health Service,204993786.4,216190547,232671000,245882000,261259000,268616000
Islington,363928208,383805966.8,412126000,433316000,450758000,463561000
Kensington and Chelsea,297612515.6,313868111.3,337424000,354773000,368281000,378838000
Kingston,219237815.2,231212584.7,249459000,262286000,274176000,281978000
Kirklees,527511652.4,556324338.8,598931000,631872000,678239000,697184000
Knowsley,268697411,283373663.6,303843000,320554000,334840000,344256000
Lambeth,505097387.3,532685806.6,580017000,609840000,636428000,654513000
